,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[17],0.445,1.388,-2.048,3.303,0.013,0.01,12013,9810,1
mu[18],0.243,2.028,-3.702,4.423,0.018,0.012,11962,13225,1
mu[19],0.4,1.83,-2.994,4.207,0.016,0.011,13294,14528,1
mu[20],-0.653,1.676,-4.158,2.416,0.015,0.011,12157,9376,1
mu[21],-0.469,1.455,-3.724,2.097,0.013,0.009,11888,12258,1
mu[22],0.017,0.691,-1.346,1.353,0.006,0.004,12265,11327,1
mu[23],-0.026,0.875,-1.754,1.692,0.008,0.005,12608,13741,1
mu[24],0.348,2.493,-4.812,5.142,0.021,0.015,13577,12901,1
mu[25],0.166,0.672,-1.176,1.485,0.006,0.004,12392,12574,1
mu[26],0.625,1.465,-2.107,3.488,0.013,0.009,13145,15254,1
mu[27],0.151,0.75,-1.334,1.625,0.007,0.005,12684,15598,1
mu[28],-0.437,1.355,-3.145,2.178,0.012,0.008,13118,15577,1
mu[29],0.109,1.638,-3.037,3.389,0.014,0.01,13085,13455,1
mu[30],-0.583,1.354,-3.344,1.885,0.012,0.008,13173,14368,1
mu[31],0.213,2.981,-5.439,6.474,0.026,0.019,12248,11303,1
mu[32],-0.419,1.234,-2.874,1.825,0.012,0.008,11222,11474,1
mu[33],0.051,1.028,-2.095,2.098,0.009,0.006,12813,12950,1
mu[34],0.485,1.269,-1.86,2.929,0.011,0.008,11826,14469,1
mu[35],0.113,0.848,-1.506,1.83,0.008,0.005,12298,10299,1
mu[36],0.368,1.776,-2.899,4.226,0.015,0.011,12980,11393,1
mu[37],-0.111,0.923,-1.867,1.853,0.009,0.006,11042,10900,1
mu[38],-0.028,0.602,-1.194,1.166,0.005,0.004,12762,12639,1
mu[39],-0.33,1.355,-3.312,2.065,0.012,0.009,11975,10398,1
mu[40],0.128,1.507,-2.94,3.142,0.012,0.009,13367,12765,1
mu[41],0.635,1.811,-2.763,4.323,0.016,0.011,12235,14153,1
mu[42],0.258,0.997,-1.535,2.324,0.009,0.006,11703,12987,1
mu[43],-0.193,1.902,-4.267,3.657,0.017,0.012,12073,12752,1
mu[44],0.051,1.685,-3.204,3.452,0.015,0.011,11802,13861,1
mu[45],0.326,2.087,-3.477,4.767,0.018,0.013,13235,13805,1
mu[46],-0.196,0.89,-1.912,1.538,0.008,0.006,11233,10530,1
mu[47],-0.344,1.04,-2.456,1.587,0.009,0.007,12194,14788,1
mu[48],0.746,1.96,-2.943,4.591,0.018,0.013,12044,12390,1
mu[49],0.227,1.395,-2.64,3.225,0.012,0.008,12463,13839,1
mu[50],0.403,1.492,-2.571,3.412,0.012,0.009,12804,11674,1
sigma,7.062,0.784,5.707,8.61,0.007,0.005,10896,9405,1
